id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2024-0898-IDN,2024-12-03T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2024-0882-THA,2024-11-25T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
emdat-event-2024-0865-IDN,2024-11-23T00:00:00Z,Flash flood in Indonesia,nat-hyd-flo-fla,IDN,emdat-events
emdat-event-2024-0719-BGD,2024-10-05T00:00:00Z,Flood (General) in Bangladesh,nat-hyd-flo-flo,BGD,emdat-events
emdat-event-2024-0719-IND,2024-10-04T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2024-0707-IRN,2024-09-30T00:00:00Z,Flash flood in Iran (Islamic Republic of),nat-hyd-flo-fla,IRN,emdat-events
emdat-event-2024-0692-NPL,2024-09-26T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2024-0647-IND,2024-08-26T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2024-0644-IDN,2024-08-25T00:00:00Z,Flash flood in Indonesia,nat-hyd-flo-fla,IDN,emdat-events
emdat-event-2024-0624-IND,2024-08-19T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2024-0624-BGD,2024-08-19T00:00:00Z,Flash flood in Bangladesh,nat-hyd-flo-fla,BGD,emdat-events
emdat-event-2024-0628-THA,2024-08-16T00:00:00Z,Flood (General) in Thailand,nat-hyd-flo-flo,THA,emdat-events
emdat-event-2024-0596-NPL,2024-08-16T00:00:00Z,Glacial lake outburst flood in Nepal,nat-cli-glo-glo,NPL,emdat-events
emdat-event-2024-0568-CHN,2024-08-03T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2024-0561-IND,2024-07-31T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2024-0552-CHN,2024-07-27T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2024-0514-CHN,2024-07-19T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
